"Identity","SourceFile","QueryUrl","PayloadKey","AssignmentId","EntityId","ItemEntityId","FeatureId","FeatureOptions","Variant","Ct","Priority","CtOverride","StartTime","ExpireTime","RequiresNetwork","RotationPeriod","PropertiesHash","MetadataHash","PayloadHash","PayloadPreview"
"FeatureConfig.json|56220122|PAYLOAD_57084984_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57084984_1","0","FX:13670C38","","56220122","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","172fdbe108363a245f7995cc030655f065fc6b83515bc5ce23bc40bde79f813b","{""ad"":{""entityId"":""FX:13670C38"",""items"":[{""featureId"":56220122,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56502042|PAYLOAD_57102053_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57102053_1","0","FX:13674EE5","","56502042","4","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","92bbaf869601c93412cceea7db9cc1fe7e6df0a7aa1198dac1392928685e5523","{""ad"":{""entityId"":""FX:13674EE5"",""items"":[{""featureId"":56502042,""featureOptions"":4,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|55011675|PAYLOAD_57122669_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57122669_1","0","FX:13679F6D","","55011675","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","15e2c4802483acd4f1b12dfc9fbd577d7907df457e5cf87a79592f5ca921676e","{""ad"":{""entityId"":""FX:13679F6D"",""items"":[{""featureId"":55011675,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|53858120|PAYLOAD_57152417_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57152417_1","0","FX:136813A1","","53858120","2","0","1","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","94f392c525835e1f305344bf54a14d8024609f15f10b11733eb4f175cf173aee","{""ad"":{""entityId"":""FX:136813A1"",""items"":[{""featureId"":53858120,""featureOptions"":2,""ct"":1,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|54917906|PAYLOAD_57169058_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57169058_1","0","FX:136854A2","","54917906","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","980ea7b1dc5b367f8adb7906680c06c3b187b1909eb31b02068835d111225d3a","{""ad"":{""entityId"":""FX:136854A2"",""items"":[{""featureId"":54917906,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|55182690|PAYLOAD_57171112_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57171112_1","0","FX:13685CA8","","55182690","2","0","3","","3","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","ab062b05ba2b7e611b53fc7db5e0d34d7cb8ed38fb22e9e47d2da2f16598483e","{""ad"":{""entityId"":""FX:13685CA8"",""items"":[{""featureId"":55182690,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":3}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|51809855|PAYLOAD_57206962_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57206962_1","0","FX:1368E8B2","","51809855","2","0","1","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","4d194c3d312d1165c2973342f23c51ec265ee3355f810ad2a22252f872f5eb84","{""ad"":{""entityId"":""FX:1368E8B2"",""items"":[{""featureId"":51809855,""featureOptions"":2,""ct"":1,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56051176|PAYLOAD_57207007_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57207007_1","0","FX:1368E8DF","","56051176","2","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","17b3b6291f4f736312718b0d91bf3b1917a4a9c0ddd91209f6c33278d6267174","{""ad"":{""entityId"":""FX:1368E8DF"",""items"":[{""featureId"":56051176,""featureOptions"":2,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|56539790|PAYLOAD_57259682_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57259682_1","0","FX:1369B6A2","","56539790","2","0","1","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","9a8896c624b9fa2527e44eaeeb628aa7d32d1a5835d0e1b87cd1e79738750fe2","{""ad"":{""entityId"":""FX:1369B6A2"",""items"":[{""featureId"":56539790,""featureOptions"":2,""ct"":1,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.json|47375114|PAYLOAD_57279966_1","FeatureConfig.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_57279966_1","0","FX:136A05DE","","47375114","2","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","4f39bbab2f2780c7e0eed736cdb78badada04d839680a2c6978b4d3647ee7956","{""ad"":{""entityId"":""FX:136A05DE"",""items"":[{""featureId"":47375114,""featureOptions"":2,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
